timestamp,symbol,side,size,price,strategy_variant
2026-03-06T04:46:02.829278+00:00,BTCUSDT,BUY,0.001,70572.34,A
2026-03-06T04:46:03.091969+00:00,BTCUSDT,BUY,0.001,70572.34,B
2026-03-06T04:46:05.854910+00:00,ETHUSDT,BUY,0.01,2069.99,A
2026-03-06T04:46:06.312445+00:00,ETHUSDT,BUY,0.01,2069.99,B
